Sentiment,CleanedText
Positive,['bro']
Positive,"['people', 'dont', 'evil']"
Negative,"['weekend', 'mean', 'high', 'chance', 'win', 'luck', 'hate', 'probably']"
Negative,"['someone', 'little', 'grumpy', 'morning', 'im', 'play', 'around', 'lighten']"
Negative,"['actually', 'didnt', 'feel', 'good', 'last', 'weekend', 'either', 'still', 'suck', 'free', 'weekend', 'funk']"
Positive,"['kind', 'help', 'u', 'ask']"
Positive,"['know', 'wife', 'good', 'point', 'like', 'let', 'use', 'macbook', 'soon', 'joke', 'tablet']"
Positive,"['mum', 'put', 'stocking', 'quothookerquot', 'quotmona', 'shut', 'upquot']"
Positive,"['hello', 'welcome', 'world', 'amp', 'thanks', 'follow']"
Negative,"['ohnoes', 'whats', 'bansal']"
Negative,"['yup', 'except', 'weekend', 'wedthurs']"
Positive,[]
Negative,"['nooo', 'dont', 'know', 'whyi', 'click', 'tweetdeck', 'manual', 'blinkair', 'doesnt', 'run', 'sad']"
Positive,"['tbaggin', 'boat', 'hoe', 'oh', 'boy']"
Negative,"['go', 'settingspicture', 'browse', 'id', 'didnt', 'ler', 'change', 'mine', 'look', 'put']"
Negative,"['good', 'hear', 'okaymy', 'day', 'good', 'wheather', 'good', 'course', 'work', 'today', 'xx']"
Positive,['heyy']
Negative,"['allow', 'mean', 'go', 'see', 'katie', 'allow', 'spent', 'night', 'deerinfested', 'house', 'huh']"
Positive,"['im', 'happy', 'go', 'dinner', 'posh', 'place', 'food', 'wonderful', 'love', 'food', 'wonderful']"
Negative,"['think', 'cry', 'little', 'via', 'x']"
Negative,"['see', 'crazy', 'request', 'get', 'make', 'chocolate', 'spread', 'look', 'perfectly', 'reasonable', 'still', 'though']"
Negative,[]
Positive,"['decides', 'twitter', 'etiquette', 'decide', 'case']"
Negative,"['james', 'couldnt', 'get', 'ticket', 'number', 'allow', 'tight', 'shift', 'market', 'pharmacy', 'need', 'long']"
Negative,"['yeah', 'itunes', 'keep', 'lock', 'dead', 'annoy']"
Negative,"['btw', 'ooh', 'bbq', 'nice', 'hop', 'one', 'weekend', 'look', 'good']"
Negative,"['water', 'work', 'gonna', 'start']"
Negative,"['yeah', 'suck', 'leave', 'vineland', 'tomorrow', 'anyway']"
Negative,"['lol', 'seriously', 'watch', 'cost', 'price', 'except', 's', 'daytona', 'cost', 'full', 'pop']"
Positive,"['funny', 'grant', 'tad', 'big', 'badge', 'think']"
Negative,"['quothappy', 'birthdayquot', 'baby', 'girl', 'asia', 'grow', 'fast', 'make', 'feel', 'old']"
Negative,"['havent', 'caught', 'either', 'thinkin', 'bag', 'eye', 'stayin', 'good']"
Positive,"['dont', 'forget', 'h']"
Positive,"['well', 'do', 'stationary', 'make', 'proud']"
Negative,"['call', 'havnt', 'talk', 'day', 'lovey']"
Positive,"['thought', 'adam', 'gonna', 'win', 'glad', 'kris', 'though', 'love', 'guy', 'ok', 'haha']"
Negative,"['leave', 'jet', 'plane']"
Negative,"['aw', 'parent', 'dont', 'get', 'like', 'someone', 'make', 'forget', 'like', 'teenager']"
Positive,"['almost', 'fforgot', 'twitter', 'biotch', 'sound', 'dirty']"
Positive,"['nu', 'bet', 'protams']"
Negative,"['im', 'sorry', 'bree']"
Positive,"['ltif', 'need', 'methis', 'ill', 'dayjus', 'sayin']"
Negative,"['haah', 'havent', 'see', 'really', 'sad', 'id', 'love', 'mean', 'look', 'amaze']"
Positive,"['thx', 'mention']"
Positive,"['cant', 'wait', 'see', 'tuesday']"
Negative,"['hate', 'exam']"
Negative,"['lmfao', 'start', 'tuesday', 'chill', 'time', 'gotten', 'lmao']"
Positive,"['thank', 'much']"
Negative,"['well', 'might', 'eventually', 'refer', 'good', 'luck', 'god', 'speed', 'brave', 'one']"
Positive,"['like', 'quota', 'cobra', 'heartquot', 'politisi', 'indonesia', 'nehi', 'nehi']"
Positive,"['thanks', 'really', 'fun']"
Positive,"['nothing', 'kind', 'everything', 'sort']"
Negative,"['keep', 'loose', 'follower', 'womp', 'womp', 'sooo', 'come', 'one', 'people', 'wanna', 'stop', 'talkin', 'isee', 'goodnight', 'folk']"
Negative,"['arrive', 'thanks', 'much', 'package', 'mention', 'still', 'mia']"
Positive,"['yeah', 'omg', 'gonna', 'today', 'work', 'english', 'fiction', 'story', 'gotta', 'write', 'draft']"
Negative,"['amp', 'know', 'u', 'see', 'u', 'r', 'tell', 'cant', 'sleep']"
Positive,"['ding', 'ding', 'ding', 'god', 'know', 'bad', 'attention', 'span', 'still', 'managedbarely']"
Positive,"['mannnnn', 'u', 'dont', 'susan', 'stop', 'bbqing', 'party', 'look', 'around']"
Negative,"['guess', 'didnt', 'get', 'job']"
Positive,"['sorry', 'misunderstand', 'get', 'alot', 'request', 'personal', 'information', 'go', 'give']"
Positive,"['final', 'touch', 'sailor', 'overall', 'share', 'pic', 'soon']"
Negative,"['k', 'im', 'back', 'dont', 'wanna', 'shave']"
Negative,"['picked', 'bad', 'time', 'liquid', 'diet', 'say', 'cheese', 'fest', 'great', 'weather']"
Negative,"['cause', 'long', 'snotty', 'nose', 'boy', 'door', 'want', 'take', 'date', 'happens', 'quicker', 'think']"
Negative,"['yeah', 'neva', 'win', 'anything', 'alrite', 'day', 'till', 'jbs', 'album', 'come', 'au', 'xo']"
Positive,"['haha', 'yes', 'call', 'brainphone', 'hence', 'number', 'theyll', 'probably', 'tell', 'im', 'weird', 'already', 'know', 'lol']"
Positive,"['like', 'dollar', 'sense', 'maybe', 'jv']"
Positive,"['decide', 'follow', 'reading', 'hope', 'ok']"
Positive,"['worry', 'favor', 'return', 'today', 'unannounced', 'date', 'time', 'much', 'love', 'brit']"
Negative,"['still', 'tire', 'bore', 'concerned']"
Positive,"['ill', 'best', 'keep', 'loop', 'amy', 'already', 'promise', 'wed', 'give', 'many', 'drunken', 'call', 'u']"
Negative,"['yt', 'really', 'weird', 'day']"
Positive,"['havent', 'update', 'forever']"
Positive,"['sweet', 'dream', 'yoo']"
Positive,"['yeah', 'high', 'chance', 'sure', 'lame', 'mikifpher']"
Negative,"['gonna', 'try', 'rum', 'run', 'gonna', 'see', 'wine', 'long', 'flu', 'ever']"
Positive,"['hahaha', 'nobody', 'know', 'one', 'yeah', 'tomorrow', 'one', 'mayne']"
Negative,"['want', 'puppyyyyyyyyyyyyyyyyy']"
Negative,"['aw', 'suck']"
Negative,"['haha', 'yeah', 'cliffhanger', 'im', 'sorry', 'suck', 'blah']"
Negative,"['brilliant', 'idea', 'bring', 'much', 'think', 'youll', 'spend', 'amp', 'ill', 'swap', 'bring', 'brolly']"
Negative,"['work', 'till']"
Positive,"['good', 'lad', 'mate', 'well', 'do']"
Negative,"['quotlooking', 'fairy', 'tale', 'end', 'im', 'go', 'get', 'real', 'lifequot']"
Positive,"['oh', 'property', 'virgin', 'srsly', 'perfectly', 'normal', 'even', 'jade', 'repeat', 'buyer', 'anxiety', 'esp', 'paperwork']"
Positive,"['saw', 'blog', 'post', 'eunhyuk', 'two', 'like', 'kindred', 'soul', 'soo', 'cute']"
Positive,"['hi', 'lil', 'question', 'accesshollywood', 'connect', 'tii', 'michael', 'jackson', 'concert']"
Negative,"['wanna', 'home', 'churchi', 'wonder', 'wht']"
Positive,"['umm', 'okayyyy', 'enuf', 'ahha']"
Negative,"['lol', 'shes', 'like', 'umm', 'sorry', 'go', 'shiit', 'forgot', 'doctor', 'office', 'bad', 'lol', 'fucck', 'feel', 'sick']"
Negative,"['msn', 'internet']"
Positive,"['know', 'righti', 'hope', 'isi', 'hope', 'find']"
Positive,"['gurl', 'train', 'well', 'yur', 'doll']"
Negative,"['work', 'late', 'real', 'late']"
Negative,"['one', 'tweet', 'tweet', 'btw', 'lol', 'seee', 'told', 'u', 'lol', 'yeah', 'im', 'slippin', 'shoulda', 'told', 'yall', 'sorrwee']"
Positive,"['lip', 'mostly', 'seal', 'till', 'conf', 'come', 'conf', 'find', 'abt', 'enter', 'comp', 'win', 'pas']"
Negative,"['hey', 'babedidnt', 'see', 'thanx', 'im', 'still', 'reall', 'sick']"
Positive,[]
Positive,"['coogee', 'beach', 'ever', 'actually', 'work']"
Negative,"['know', 'northern', 'irish', 'star', 'piss', 'play', 'republic', 'ireland', 'there', 'law', 'say']"
Negative,"['awww', 'u', 'suck', 'never', 'see', 'u', 'anymore']"
Negative,"['seriously', 'time', 'ever', 'sunny', 'anymore', 'im', 'work']"
Negative,"['true', 'sad']"
Positive,"['heywhen', 'new', 'graffiti', 'album', 'come', 'scotland', 'wait', 'ageshahah']"
Negative,"['text', 'piss', 'im', 'sorry']"
Negative,"['lol', 'havin', 'bad', 'day', 'smh', 'never', 'get', 'call', 'though', 'dont', 'like', 'snap']"
Negative,"['lol', 'sarcasm', 'flippin', 'communication', 'understand', 'fully', 'ppl', 'think', 'mobile', 'work', 'everywhere']"
Negative,"['u', 'arent', 'followin', 'wheres', 'tsmb', 'love']"
Negative,[]
Negative,"['seem', 'take', 'minute', 'hour', 'system', 'register', 'request', 'go', 'seem']"
Negative,"['im', 'love', 'baby', 'ill', 'home', 'tonite', 'bet', 'tha', 'guy', 'lik', 'jus', 'wanna', 'sound', 'homo', 'hahhaa']"
Positive,"['want', 'detail']"
Negative,"['home', 'shower', 'lappie', 'bed', 'eat', 'antiflu', 'dropsmy', 'lung', 'auw']"
Positive,"['see', 'x', 'button', 'far', 'top', 'right', 'corner', 'tweetdeck', 'click']"
Positive,"['cant', 'see', 'face', 'background', 'girl', 'cat', 'say', 'much', 'u', 'get', 'gist']"
Positive,"['work', 'tomoz']"
Positive,"['oh', 'good', 'relax']"
Negative,"['awhhh', 'bad', 'germany', 'far']"
Negative,"['also', 'lose', 'crazy', 'golf', 'today']"
Positive,"['thanks', 'arik', 'go', 'tonight']"
Negative,"['blargh', 'rock', 'amp', 'hard', 'place', 'best', 'bet', 'find', 'pvt', 'seller', 'junkmail', 'gumtreecoza', 'guess', 'dont', 'get', 'scammed']"
Negative,"['okay', 'anything']"
Negative,"['britney', 'need']"
Positive,"['believe', 'photoshop', 'answer', 'question']"
Negative,"['feel', 'get', 'holiday', 'babe']"
Negative,"['live', 'nightmare', 'today', 'would', 'completely', 'lose', 'spider', 'friend']"
Negative,"['suppose', 'good', 'day', 'cant', 'see', 'peter', 'upset']"
Negative,"['iam', 'sure', 'shes', 'gonna', 'regret', 'someday', 'gonna', 'late', 'nick', 'gonna', 'find', 'someone', 'else', 'sad']"
Negative,"['well', 'wasnt', 'mood', 'time', 'start', 'eat', 'doner', 'pot', 'noodle', 'though']"
Positive,"['quotbecause', 'cant', 'kill', 'lovequot', 'gwse']"
Negative,['w']
Positive,"['u', 'didnt', 'invite', 'wouldve', 'come']"
Positive,"['absolute', 'faith', 'rite', 'come', 'found', 'alt', 'hack', 'mail', 'id', 'sat', 'nearly', 'rant']"
Negative,"['normaly', 'like', 'ham', 'cheese', 'aswell']"
Positive,"['yummmm', 'also', 'pizza']"
Negative,"['quotthen', 'jesus', 'say', 'dinner', 'mequot', 'man', 'respond', 'quotfirst', 'send', 'resume', 'photo']"
Positive,"['lol', 'would', 'never']"
Negative,"['ask', 'jack', 'didnt', 'reply', 'im', 'gonna', 'ask', 'guy', 'gonna', 'signing', 'melbourne']"
Negative,"['heey', 'binkie', 'ever', 'see', 'picture', 'drew', 'work', 'hard']"
Negative,"['bashin', 'everything', 'like', 'tonight']"
Negative,"['dont', 'even', 'know', 'reply']"
Negative,"['yes', 'get', 'huge', 'fan', 'damn']"
Positive,"['yes', 'true', 'need', 'practise', 'relaxation', 'exercise']"
Negative,"['go', 'aww', 'look', 'like', 'left', 'without', 'oh', 'well']"
Negative,"['dont', 'know', 'tbh', 'mad', 'month', 'could', 'anything', 'tell', 'though', 'bad', 'sleep']"
Negative,"['shop', 'today', 'wtf', 'want', 'sit', 'shop', 'fri', 'afternoon', 'guess', 'thats', 'happens', 'ur', 'hair', 'stylist', 'ur', 'dad', 'ugh']"
Negative,"['lonestar', 'pitcher', 'wasnt', 'still', 'recover', 'last', 'weekend', 'bout', 'irresponsible', 'gluten', 'consumption']"
Negative,"['oh', 'hope', 'ok']"
Positive,"['oh', 'really', 'last', 'time', 'smoke']"
Positive,"['bit', 'dont', 'need', 'know', 'everything', 'linguistics', 'anyhow']"
Positive,"['goodstay', 'like', 'viagra', 'pause']"
Negative,"['side', 'canada', 'lol', 'province', 'alberta', 'part', 'calgary', 'go', 'tour']"
Negative,"['prayer', 'phil', 'mickelson', 'wife', 'cancer', 'ken', 'green', 'leg', 'get', 'amputate', 'thought', 'guy']"
Negative,"['drop', 'metal', 'measure', 'spoon', 'rotate', 'garbage', 'disposalwah', 'fave', 'set', 'm', 'poon']"
Negative,"['noooooooooo', 'hope']"
Negative,"['well', 'thats', 'weirdevery', 'time', 'try', 'opening', 'blog', 'browser', 'freeze', 'close', 'due', 'error']"
Negative,"['cry', 'cant', 'ever', 'enough', 'time', 'eat', 'relax', 'barely', 'enough', 'time', 'sleep', 'im', 'get', 'depressed', 'bedtime', 'guess']"
Negative,"['wouldnt', 'sick', 'bed']"
Negative,"['im', 'sorry', 'hope', 'get', 'sleep']"
Negative,"['omg', 'yeah', 'happen', 'last', 'night', 'andrew', 'suck', 'couldnt', 'paperwork', 'clock']"
Negative,"['awww', 'im', 'sorry', 'didnt', 'see', 'msg', 'till']"
Positive,"['nice', 'theyre', 'cool']"
Positive,"['dont', 'worry', 'ill', 'pray', 'jesus', 'christ', 'true', 'savior', 'soul']"
Positive,"['quothe', 'pleasequot', 'mm', 'good', 'day']"
Positive,"['lol', 'haha', 'welcome']"
Positive,"['nice', 'need', 'try', 'thanks', 'tip']"
Positive,"['aww', 'grown', 'use', 'strong', 'word', 'show', 'emotion', 'love']"
Positive,"['everything', 'cross', 'gorgeous', 'today', 'never', 'know']"
Negative,"['need', 'study', 'harder']"
Positive,"['hope', 'feel', 'bit', 'well', 'today']"
Positive,"['hahaa', 'bit', 'less', 'impressive', 'outside', 'googelplex', 'cool', 'nonetheless']"
Negative,"['youre', 'rightmaybe', 'break']"
Negative,"['sadly', 'work', 'lmao']"
Positive,"['confuse', 'werent', 'airport', 'last', 'night', 'love', 'video', 'btw', 'funny']"
Negative,"['go', 'thought', 'ripoff']"
Positive,"['really', 'appreciate', 'ill', 'make', 'sure', 'tims', 'video', 'site', 'well', 'interest', 'vids']"
Positive,"['love', 'new', 'picture', 'handsome', 'like', 'smile', 'photo']"
Negative,"['click', 'link', 'say', 'quotage', 'unavailablequot']"
Negative,"['im', 'sorry', 'cherise']"
Positive,"['hold', 'hit', 'gas', 'least', 'get', 'whiplash', 'magic', 'vodka']"
Positive,"['myspace', 'visit', 'like', 'time', 'year']"
Negative,"['well', 'ask', 'day', 'ago', 'say', 'money', 'thing', 'hold', 'back', 'saturday', 'something']"
Negative,"['yeah', 'know', 'stephen', 'schwartz', 'say', 'want', 'play', 'present', 'guess', 'lose', 'fight']"
Positive,"['yea', 'really', 'need', 'cut', 'backlol', 'ill', 'find', 'later', 'amp', 'retweet']"
Positive,"['lol', 'niiiiiiice', 'expression', 'im', 'go', 'steal', 'know']"
Negative,"['ale', 'cant', 'put', 'picture', 'amp', 'im', 'look', 'book', 'radiographic', 'position', 'pocket', 'manual', 'cynthiadand', 'everything', 'suck']"
Negative,"['kind', 'pleasure', 'could', 'possibly', 'know', 'youre', 'unhappy', 'drunk']"
Negative,"['virgin', 'blue', 'really', 'drop', 'ball', 'today', 'flight', 'delayed', 'time', 'different', 'gate', 'boarding', 'pas', 'seat', 'change']"
Positive,"['well', 'window', 'per', 'se', 'window']"
Negative,"['money', 'suck']"
Negative,"['thanks', 'girlie', 'love', 'yo', 'main', 'pic', 'cant', 'see', 'ur', 'background', 'pic']"
Positive,"['dude', 'dunno', 'u', 'write', 'ff', 'ur', 'itouch', 'there', 'cooler', 'app', 'touchtype', 'thats', 'u', 'use', 'tell', 'u', 'later']"
Negative,"['miss', 'see', 'rafael', 'lose']"
Negative,"['dear', 'restore', 'computer', 'lose', 'everything', 'show', 'delayed', 'get', 'thing', 'back', 'together']"
Negative,"['know', 'bad', 'get', 'new', 'pair', 'crit', 'glove', 'flame', 'leviathan', 'tho', 'dont', 'much', 'haste', 'gear']"
Negative,"['francis', 'spoke', 'day', 'still', 'shock']"
Negative,"['girlbird', 'name', 'getrude', 'mcfuzz', 'miss', 'drama', 'miss', 'onstage', 'miss', 'seussical']"
Positive,"['yay', 'thanks', 'laura']"
Positive,"['knew', 'asp', 'sure', 'would', 'profecient']"
Negative,"['well', 'say', 'quotn', 'serious', 'notequot', 'knew', 'hed', 'talk', 'adam', 'idea', 'go', 'say', 'shock']"
Positive,"['hug', 'back', 'miss', 'chat']"
Negative,"['aww', 'hope', 'fudge', 'okay', 'get', 'attack']"
Positive,"['happy', 'th', 'bday', 'make', 'old', 'month', 'however', 'look', 'like', 'yearolds', 'still', 'thats', 'whats']"
Negative,"['uh', 'oh']"
Positive,"['good', 'morning', 'friend', 'eye', 'turn', 'green', 'cry']"
Negative,"['want', 'one']"
Positive,"['tell', 'mom', 'bout', 'birdmaniac', 'twin', 'thing']"
Positive,"['thanks', 'tvproducer']"
Negative,"['yell', 'mother']"
Negative,"['saw', 'drop', 'race', 'also', 'stop', 'voting', 'sister']"
Negative,"['work', 'whoomp', 'whoomp']"
Negative,"['maybe', 'isnt', 'problem', 'guess', 'try', 'copy', 'amp', 'see', 'happens', 'dont', 'want', 'kill', 'new', 'lappy']"
Negative,['everything']
Negative,"['live', 'hungary']"
Negative,"['suck', 'hate', 'razor', 'phone']"
Positive,"['u', 'know', 'kiddo']"
Positive,"['hi', 'bet', 'weve', 'met', 'launch', 'weekend', 'available', 'monday', 'morning']"
Negative,"['last', 'night', 'hilarious', 'lt', 'work', 'dayyyyy']"
Positive,"['yeah', 'say', 'one', 'like', 'every', 'time', 'lol', 'whats', 'wrong', 'one', 'right']"
Positive,"['dunno', 'depends', 'use', 'duct', 'tape', 'crazy', 'glue']"
Positive,"['jo', 'crackin', 'watch', 'video']"
Negative,"['get', 'tackledattackedjumped', 'fucken', 'drunk', 'girl', 'triple', 'size', 'gt', 'im', 'pretty', 'badly', 'wound']"
Negative,"['hate', 'fall', 'asleep', 'hand', 'lmao', 'dude', 'lose', 'wallet', 'night', 'u', 'remember', 'car', 'jitb']"
Positive,"['sorry', 'blokey', 'hr', 'later', 'amp', 'im', 'still', 'hold', 'ur', 'fluffy', 'towel', 'dash', 'hope', 'u', 'found', 'mean', 'dry', 'ur', 'self']"
Positive,"['challenge', 'lol', 'say', 'much', 'mean', 'stuff', 'good', 'fun', 'meanspiritedness', 'joke']"
Negative,"['ahha', 'wish', 'im', 'young', 'law', 'wouldnt', 'let', 'would', 'could']"
Positive,"['thanks', 'great', 'product']"
Positive,"['yay', 'im', 'sure']"
Positive,"['whats', 'plan', 'action', 'today']"
Negative,"['think', 'want', 'record', 'walk', 'like', 'gentlemanbut', 'dont', 'anymore', 'memorysorry']"
Positive,"['aww', 'know', 'lt', 'amaze', 'listen', 'today']"
Positive,"['like', 'mosquite', 'quote', 'mark', 'see', 'others', 'still', 'retweeting', 'ago', 'put']"
Negative,"['im', 'sorry', 'bb', 'shouldnt', 'ton', 'gay', 'dude', 'though', 'isnt', 'mom', 'like', 'hag', 'st', 'degree']"
Positive,"['good', 'morningwrecking', 'havoc', 'already']"
Negative,"['heard', 'david', 'eddings', 'die', 'earlier', 'month']"
Negative,"['sorry', 'jumped', 'gun', 'retweet']"
Negative,"['im', 'sure', 'jasper', 'fine', 'cant', 'say', 'piano']"
Positive,"['lol', 'like', 'polar', 'opposite', 'ben', 'maybe', 'thats', 'get', 'well']"
Negative,"['im', 'gag', 'coffee', 'also', 'im', 'peasant', 'transport', 'cant', 'get', 'hand', 'yet']"
Positive,"['lmao', 'kinda', 'pic', 'always', 'come', 'random', 'hot', 'lol', 'youre', 'welcome']"
Negative,"['youre', 'make', 'sadangryannoyed', 'vote', 'verifeid', 'something']"
Negative,"['quotwhat', 'doingquot', 'would', 'good', 'job', 'focus', 'homework']"
Negative,"['cant', 'get', 'nothing']"
Negative,"['help', 'urge', 'pas', 'cant', 'easy', 'stuff', 'hand', 'tie']"
Positive,"['sighh', 'feelin', 'ill', 'wana', 'crawl', 'bed', 'n', 'knokk']"
Positive,"['highly', 'recommends', 'join', 'wwwmeasia', 'earn', 'money', 'free', 'shareholder', 'dividend', 'even', 'nothing']"
Positive,"['bahstupid', 'work', 'congrats', 'wowi', 'feel', 'old', 'lol']"
Positive,"['prefer', 'coffee', 'kalhua', 'tia', 'maria', 'use', 'drink', 'monthly', 'poetry', 'grp', 'make', 'poetry', 'well']"
Positive,"['definitely', 'preen', 'egg', 'certainly', 'need', 'ham']"
Positive,"['day', 'tomorrow']"
Negative,"['muhahahaha', 'iz', 'go', 'mad', 'wit', 'power', 'sury', 'hey', 'cant', 'cause', 'level', 'unless', 'level', 'soon']"
Positive,"['party', 'time']"
Positive,"['hmm', 'really', 'like', 'song', 'summer', 'ep', 'lt', 'nsn']"
Positive,"['im', 'gonna', 'check', 'online', 'tmrw']"
Positive,['hi']
Negative,"['dude', 'thats', 'effed', 'lol', 'chris', 'browning', 'live', 'far', 'apart', 'im', 'afraid', 'fly']"
Negative,"['yo', 'taniyah', 'might', 'get', 'make', 'daughter', 'party', 'unless', 'come', 'bout', 'min']"
Negative,"['youre', 'sell']"
Negative,"['aww', 'know', 'havnt', 'see', 'yous', 'age', 'miss', 'yous']"
Positive,"['yawn', 'stretch', 'morning', 'dooh', 'yeah', 'im', 'teach', 'puppy', 'class', 'today', 'see', 'cherokeethen', 'goth', 'night']"
Negative,"['yeah', 'im', 'everyday', 'minute', 'though', 'ben', 'doesnt', 'like', 'steal', 'attention']"
Positive,"['excite', 'watch', 'hope', 'u', 'win']"
Positive,['eclectic']
Negative,"['everyone', 'else', 'go', 'lunch', 'except']"
Positive,"['yep', 'im', 'damn', 'well', 'lose', 'day', 'sleep', 'rematch', 'cant', 'think', 'pointless', 'cause']"
Positive,"['felt', 'way', 'hawaii']"
Negative,"['wish', 'eligible', 'super', 'busy', 'review', 'ha', 'ha']"
Negative,"['never', 'found', 'wallet', 'thought', 'call', 'woodies', 'hope', 'found']"
Positive,"['surprised', 'since', 'trash', 'talk', 'lebron', 'guess', 'sore', 'loser']"
Positive,"['need', 'get', 'one', 'plug', 'cig', 'lighter', 'stay', 'hot']"
Positive,"['ummmi', 'accost', 'weirdo', 'way', 'saw', 'jupiter', 'thats', 'love']"
Positive,"['less', 'hour', 'line', 'vinesamp', 'try', 'time']"
Positive,"['wehehehehe', 'sorry', 'whats', 'new']"
Negative,"['yep', 'rental', 'manager', 'apparently', 'disappointed', 'ah', 'well', 'long', 'get', 'bond', 'back', 'dont', 'care']"
Negative,"['youll', 'always', 'friend']"
Negative,"['manage', 'lose', 'ipod', 'din', 'room', 'bedroom', 'never', 'know', 'disappear', 'planet']"
Positive,"['ooh', 'nice', 'hardwaredriver', 'issue']"
Positive,"['mine', 'robo']"
Negative,"['right', 'original', 'orange', 'mon', 'poster', 'giant', 'rip', 'isaac', 'head', 'toss']"
Negative,"['ill', 'tell', 'later', 'awful', 'woke', 'cry', 'lol']"
Positive,"['crazy', 'medium', 'cant', 'often', 'figure', 'difference', 'index', 'query', 'parse', 'structure', 'data', 'nlp']"
Positive,"['whoo', 'hoo', 'party', 'time']"
Negative,"['dont', 'wanna', 'much', 'anything', 'todayjust', 'itsomethings']"
Positive,"['daniel', 'kandi', 'tear', 'roof']"
Negative,"['course', 'im', 'hungry', 'already']"
Positive,"['turn', 'light', 'caravan']"
Positive,"['trojan', 'pc', 'happy', 'see']"
Positive,"['hope', 'session', 'go', 'well', 'dont', 'forget', 'share', 'pic']"
Negative,"['whats', 'wrong', 'boo']"
Positive,['awesome']
Negative,"['hope', 'as', 'feel', 'well']"
Positive,"['quotyour', 'girlfriend', 'sooo', 'fine', 'shawty', 'gorgeous', 'gorgeousquot']"
Negative,"['sorry', 'honey', 'think', 'u', 'need', 'tlc', 'make', 'home']"
Positive,"['awesome', 'see', 'last', 'night', 'serious', 'conversation']"
Positive,"['texas', 'roadhouse', 'grubbin']"
Negative,"['hooray', 'im', 'work']"
Negative,"['naruto', 'good', 'ive', 'watch', 'little', 'ive', 'pass', 'tv', 'gundam', 'look', 'scary']"
Positive,"['time', 'besides', 'work', 'something', 'interest', 'cant', 'talk']"
Positive,"['ya', 'think', 'ive', 'make', 'faux', 'pa']"
Positive,"['whooo', 'thought', 'interest', 'topic']"
Negative,"['def', 'need', 'see', 'honestly']"
Positive,"['day', 'day', 'day', 'day', 'day', 'day', 'day', 'day', 'day', 'day', 'day', 'day', 'day', 'day', 'pronto']"
Positive,"['cant', 'wait', 'get', 'print', 'copy', 'ur', 'book']"
Negative,"['nakajima', 'atsuko', 'ridic', 'stuff', 'getbackers', 'back', 'day', 'code', 'geass', 'heroine', 'tribute', 'blow', 'water']"
Negative,"['rip', 'jimmy']"
Negative,"['lol', 'andrew', 'friend', 'learn', 'gether', 'devasted', 'primeval', 'finish', 'xxxx']"
Positive,"['think', 'mean', 'youve', 'much']"
Negative,"['one', 'right', 'lame', 'miss']"
Negative,"['concertjust', 'enter', 'ran', 'run', 'get', 'pista', 'aso', 'concert', 'pista']"
Negative,"['unfortunately', 'ive', 'want', 'sleeeep', 'hey', 'boo', 'hehe']"
Negative,"['know', 'lose', 'without']"
Positive,"['thanks', 'birthday', 'wish', 'sexy', 'today']"
Positive,"['twitter', 'haha']"
Positive,"['thankyoui', 'get', 'smile', 'oregon', 'need']"
Positive,"['good', 'champion', 'queen']"
Negative,"['good', 'morning', 'buon', 'giorno', 'im', 'gonna', 'really', 'busy', 'day']"
Negative,"['get', 'airport', 'tc', 'come', 'gotta', 'love', 'timemachine', 'though', 'switch', 'mac', 'wont', 'regret']"
Negative,['suppose']
Positive,"['aaww', 'wale', 'london', 'shopping', 'drink', 'lol', 'oh', 'btw', 'follow', 'back', 'dont', 'mind', 'pls', 'thanks']"
Positive,"['v', 'cool']"
Negative,"['well', 'cant', 'read', 'im', 'go', 'churrcchh']"
Negative,"['thanks', 'unfortunately', 'he', 'actually']"
Positive,"['yet', 'sound', 'fun']"
Positive,"['hell', 'yahhhh', 'get', 'spot', 'drop', 'im', 'moro']"
Positive,"['thanks', 'follow']"
Negative,"['ive', 'completely', 'mia', 'con', 'forgive', 'crazy', 'drama', 'weekend', 'havent', 'really', 'home']"
Positive,"['oic', 'need', 'get', 'upgrade', 'space', 'want', 'use', 'thenthanks', 'prob', 'use', 'photoshop', 'dreamweaver']"
Positive,"['u', 'make', 'sound', 'simple', 'haha', 'finei', 'guess', 'r', 'u']"
Negative,"['hahah', 'facial', 'hair', 'cant', 'chest', 'hair', 'lool']"
Positive,"['follow', 'fellow', 'fan', 'beautiful']"
Positive,"['holy', 'hellif', 'contest', 'sexiestselfportraitwithaniphone', 'youd', 'definitely', 'win', 'hand']"
Positive,"['would', 'awesome', 'thanks', 'much']"
Negative,"['literally', 'cry', 'bus', 'home', 'could', 'hardly', 'remember', 'anything', 'actual', 'concert']"
Positive,"['via', 'thesmartecardcom', 'isnt', 'virus', 'scamphishing', 'site', 'dont', 'go', 'dont', 'give', 'personal', 'info']"
Positive,"['ohh', 'ive', 'use', 'horsehair', 'natural', 'fire', 'get', 'wonderful', 'result', 'wonder']"
Negative,"['wanna', 'snuggle', 'tonight']"
Negative,[]
Negative,"['toolio', 'court', 'th']"
Positive,"['kitchen', 'move']"
Positive,"['havent', 'set', 'yet', 'dinner', 'first', 'ill', 'let', 'ya', 'know', 'thanks']"
Positive,"['hope', 'work', 'jade', 'yes', 'take', 'ton', 'photo', 'lot', 'fbook', 'already', 'lol']"
